what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1340467858387
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1340467858399
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340467858399
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1340467858403
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1340467858407
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1340467858417
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1340467858429
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1340467858431
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1340467858435
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1340467858444
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1340467858449
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1340467858449
os,sysinfo,,,"linux",1340467858453
arch,sysinfo,,,"x86",1340467858453
ws,sysinfo,,,"gtk",1340467858453
locale,sysinfo,,,"en_US",1340467858453
processors,sysinfo,,,"2",1340467858453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340467858453
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1340467858453
java.specification.name,sysinfo,,,"Java Platform API Specification",1340467858453
java.specification.vendor,sysinfo,,,"Oracle Corporation",1340467858453
java.specification.version,sysinfo,,,"1.7",1340467858453
java.vendor,sysinfo,,,"Oracle Corporation",1340467858453
java.version,sysinfo,,,"1.7.0_02",1340467858453
java.vm.info,sysinfo,,,"mixed mode",1340467858453
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340467858453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340467858453
